 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1      1004       0.5       0.925889     0.00925889          176.007        1.76007        1.48541      0.0148541
    5    0    1    1      1009       0.5       0.930831     0.00930831          177.122        1.77122        1.47937      0.0147937
    5    0    1    1      1014       0.5       0.935755     0.00935755           178.24         1.7824        1.47339      0.0147339
    5    0    1    1      1019       0.5       0.940663     0.00940663          179.359        1.79359        1.46747      0.0146747
    5    0    1    1      1024       0.5       0.945558     0.00945558           180.48         1.8048         1.4616       0.014616
    5    0    1    1      1029       0.5       0.950445     0.00950445          181.604        1.81604         1.4558       0.014558
    5    0    1    1      1034       0.5       0.955328     0.00955328           182.73         1.8273        1.45005      0.0145005
    5    0    1    1      1039       0.5        0.96021      0.0096021          183.858        1.83858        1.44436      0.0144436
    5    0    1    1      1044       0.5       0.965097     0.00965097          184.988        1.84988        1.43872      0.0143872
    5    0    1    1      1049       0.5       0.969993     0.00969993           186.12         1.8612        1.43314      0.0143314
    5    0    1    1      1054       0.5       0.974901     0.00974901          187.254        1.87254        1.42762      0.0142762
    5    0    1    1      1059       0.5       0.979826     0.00979826          188.391        1.88391        1.42214      0.0142214
    5    0    1    1      1064       0.5       0.984773     0.00984773           189.53         1.8953        1.41672      0.0141672
    5    0    1    1      1069       0.5        0.98974      0.0098974          190.671        1.90671        1.41135      0.0141135
    5    0    1    1      1074       0.5       0.994728     0.00994728          191.814        1.91814        1.40603      0.0140603
    5    0    1    1      1079       0.5       0.999732     0.00999732           192.96         1.9296        1.40076      0.0140076
    5    0    1    1      1084       0.5        1.00475      0.0100475          194.107        1.94107        1.39553      0.0139553
    5    0    1    1      1089       0.5        1.00978      0.0100978          195.257        1.95257        1.39036      0.0139036
    5    0    1    1      1094       0.5        1.01482      0.0101482           196.41         1.9641        1.38524      0.0138524
    5    0    1    1      1099       0.5        1.01987      0.0101987          197.564        1.97564        1.38016      0.0138016
    5    0    1    1      1104       0.5        1.02493      0.0102493          198.721        1.98721        1.37513      0.0137513
    5    0    1    1      1109       0.5        1.02999      0.0102999           199.88         1.9988        1.37014      0.0137014
    5    0    1    1      1114       0.5        1.03505      0.0103505          201.041        2.01041         1.3652       0.013652
    5    0    1    1      1119       0.5        1.04011      0.0104011          202.205        2.02205        1.36031      0.0136031
    5    0    1    1      1124       0.5        1.04517      0.0104517           203.37         2.0337        1.35546      0.0135546
    5    0    1    1      1129       0.5        1.05024      0.0105024          204.538        2.04538        1.35065      0.0135065
    5    0    1    1      1134       0.5         1.0553       0.010553          205.709        2.05709        1.34588      0.0134588
    5    0    1    1      1139       0.5        1.06038      0.0106038          206.882        2.06882        1.34116      0.0134116
    5    0    1    1      1144       0.5        1.06545      0.0106545          208.057        2.08057        1.33648      0.0133648
    5    0    1    1      1149       0.5        1.07053      0.0107053          209.234        2.09234        1.33184      0.0133184
    5    0    1    1      1154       0.5        1.07562      0.0107562          210.414        2.10414        1.32724      0.0132724
    5    0    1    1      1159       0.5        1.08071      0.0108071          211.596        2.11596        1.32268      0.0132268
    5    0    1    1      1164       0.5        1.08581      0.0108581          212.781        2.12781        1.31816      0.0131816
    5    0    1    1      1169       0.5        1.09092      0.0109092          213.967        2.13967        1.31368      0.0131368
    5    0    1    1      1174       0.5        1.09602      0.0109602          215.157        2.15157        1.30924      0.0130924
    5    0    1    1      1179       0.5        1.10113      0.0110113          216.348        2.16348        1.30484      0.0130484
    5    0    1    1      1184       0.5        1.10623      0.0110623          217.543        2.17543        1.30047      0.0130047
    5    0    1    1      1189       0.5        1.11133      0.0111133          218.739        2.18739        1.29614      0.0129614
    5    0    1    1      1194       0.5        1.11642      0.0111642          219.938        2.19938        1.29185      0.0129185
    5    0    1    1      1199       0.5         1.1215       0.011215          221.139        2.21139         1.2876       0.012876
    5    0    1    1      1204       0.5        1.12657      0.0112657          222.343        2.22343        1.28338      0.0128338
    5    0    1    1      1209       0.5        1.13163      0.0113163          223.549        2.23549        1.27919      0.0127919
    5    0    1    1      1214       0.5        1.13667      0.0113667          224.758        2.24758        1.27504      0.0127504
    5    0    1    1      1219       0.5        1.14171      0.0114171          225.969        2.25969        1.27092      0.0127092
    5    0    1    1      1224       0.5        1.14674      0.0114674          227.183        2.27183        1.26684      0.0126684
    5    0    1    1      1229       0.5        1.15177      0.0115177          228.399        2.28399        1.26279      0.0126279
    5    0    1    1      1234       0.5         1.1568       0.011568          229.618        2.29618        1.25878      0.0125878
    5    0    1    1      1239       0.5        1.16185      0.0116185          230.839        2.30839         1.2548       0.012548
    5    0    1    1      1244       0.5        1.16691      0.0116691          232.062        2.32062        1.25084      0.0125084
    5    0    1    1      1249       0.5        1.17198      0.0117198          233.289        2.33289        1.24693      0.0124693
    5    0    1    1      1254       0.5        1.17708      0.0117708          234.517        2.34517        1.24304      0.0124304
    5    0    1    1      1259       0.5         1.1822       0.011822          235.748        2.35748        1.23918      0.0123918
